benilla-namecache	1	5875	enUS	VMaNGOS
P	1	0	0	0	Cathy
C	3782	4	0	0	0	0	0	9011	Shadethicket Stone Mover	
C	5932	7	0	2	0	0	0	487	Taskmaster Whipfang	
C	11458	4	0	1	0	0	0	2078	Petrified Treant	
C	3258	7	0	0	0	0	0	4745	Bristleback Hunter	
C	16399	7	0	0	0	0	0	2557	Bloodsail Traitor	
C	7447	1	0	0	0	0	0	10807	Fledgling Chillwind	
C	11371	1	0	1	8	0	0	15182	Razzashi Serpent	
C	4646	7	0	0	0	0	0	9420	Gelkis Outrunner	
C	9528	7	0	0	0	0	0	8657	Arathandris Silversky	Emerald Circle
C	1942	6	0	0	0	0	0	858	Rot Hide Savage	
C	6349	10	0	0	0	0	0	10897	Great Wavethrasher	
C	3138	7	0	0	0	0	0	4339	Scott Carevin	Mushroom Seller
C	757	7	0	0	0	0	0	152	Lost One Fisherman	
C	390	1	5	0	1	0	0	377	Porcine Entourage	
C	8018	7	0	1	0	0	0	7250	Guthrum Thunderfist	Gryphon Master
C	266	7	0	0	0	0	0	1741	Wiley the Black	
C	9700	8	0	0	0	0	0	5560	Lava Crab	
C	1815	1	4	0	1	0	0	1082	Diseased Black Bear	
C	6352	1	21	0	1	0	0	10947	Coralshell Lurker	
C	3239	1	0	0	0	0	0	1538	Thunderhead	
C	440	7	0	0	0	0	0	6033	Blackrock Grunt	
C	925	7	0	0	0	0	0	3346	Brother Sammuel	Paladin Trainer
C	5464	7	0	0	0	1	0	3249	Watchmaster Sorigal	
C	4356	1	11	0	1	0	0	11315	Bloodfen Razormaw	
C	3926	7	0	0	0	0	0	897	Thistlefur Pathfinder	
C	2844	7	0	0	0	0	0	4477	Hurklor	Blacksmithing Supplies
C	4775	7	0	0	0	0	0	2811	Felicia Doan	General Trade Goods Vendor
C	1193	1	0	0	0	0	0	1004	Loch Frenzy	
C	10904	10	0	0	0	0	0	7804	Andorhal Tower Three	
C	5262	1	9	0	1	0	0	3188	Groddoc Thunderer	
C	848	7	0	0	0	0	0	257	Madison	
C	8026	7	0	0	0	0	0	7275	Thyn'tel Bladeweaver	
C	1212	7	0	0	0	0	0	5548	Bishop Farthing	
C	10780	8	0	0	0	0	0	10091	Infected Deer	
C	12380	6	0	0	0	0	0	12430	Unliving Resident	
C	746	2	0	0	0	0	0	625	Elder Dragonkin	
C	11724	10	0	1	0	0	0	12152	Hive'Ashi Swarmer	
C	674	7	0	0	0	0	0	7202	Venture Co. Strip Miner	
C	976	1	2	0	1	0	0	320	Kurzen War Tiger	
C	1477	7	0	0	0	0	0	1509	Christoph Faral	
C	12425	7	0	1	0	0	0	5908	Flint Shadowmore	SI:7
C	1985	1	5	0	1	0	0	6807	Thistle Boar	
C	3743	7	0	0	0	0	0	6824	Foulweald Warrior	
C	7505	7	0	0	0	0	0	6630	Bloodmage Drazial	
C	14423	7	0	1	0	0	0	14472	Officer Jaxon	
C	2079	7	0	0	0	1	0	1285	Conservator Ilthalaine	
C	939	7	0	0	0	0	0	4446	Kurzen Elite	
C	481	7	0	0	0	0	0	2333	Defias Footpad	
C	3987	7	0	0	0	0	0	2002	Dal Bloodclaw	
C	4166	8	0	0	0	0	0	1547	Gazelle	
C	6145	8	0	0	0	0	0	4878	School of Fish	
C	2134	7	0	0	0	1	0	1637	Mrs. Winters	General Supplies
C	960	7	0	0	0	0	0	4336	Gunder Thornbush	Tradesman
C	474	7	0	0	0	0	0	2359	Defias Rogue Wizard	
C	1538	7	0	0	0	0	0	2466	Scarlet Friar	
C	478	7	0	0	0	0	0	512	Riverpaw Outrunner	
C	989	7	0	0	0	0	0	4559	Banalash	Trade Goods
C	8534	6	0	0	0	0	0	7854	Putrid Gargoyle	
C	5716	6	0	1	0	0	0	6701	Zul'Lor	
C	793	7	0	0	0	0	0	3356	Kara Adams	Shield Crafter
C	2977	7	0	0	0	0	0	7246	Venture Co. Taskmaster	
C	8978	7	0	4	0	0	0	11511	Thauris Balgarr	
C	3522	7	0	0	0	0	0	1633	Constance Brisboise	Apprentice Clothier
C	633	7	0	0	0	0	0	1571	Elaine Carevin	
C	843	7	0	0	0	1	0	3260	Gina MacGregor	Trade Supplies
C	6116	6	0	0	0	0	0	10702	Highborne Apparition	
C	16043	4	0	0	0	0	0	16021	Magma Lord Bokk	
C	2329	7	0	0	0	0	0	1296	Michelle Belle	Physician
C	4887	1	21	1	1	0	0	5027	Ghamoo-ra	
C	5467	5	0	1	0	0	0	12812	Deep Dweller	
C	573	9	0	4	0	0	0	548	Foe Reaper 4000	
C	2545	7	0	0	0	0	0	4641	"Pretty Boy" Duncan	
C	12137	7	0	0	0	0	0	12230	Squibby Overspeck	Zeppelin Master
C	2650	7	0	0	0	0	0	6480	Witherbark Zealot	
C	124	7	0	0	0	0	0	384	Riverpaw Brute	
C	1719	7	0	0	0	0	0	1865	Warden Thelwater	
C	5944	7	0	0	0	0	0	4614	Yonada	Tailoring & Leatherworking Supplies
C	598	7	0	0	0	0	0	308	Defias Miner	
C	4590	7	0	0	0	0	0	2633	Jonathan Chambers	Bag Vendor
C	6505	1	0	0	0	0	0	5242	Ravasaur	
C	4676	3	0	0	0	0	0	10906	Lesser Infernal	
C	99	7	0	4	0	0	0	3320	Morgaine the Sly	
C	6073	3	0	0	0	0	0	10905	Searing Infernal	
C	3507	7	0	0	0	0	0	252	Andi	
